"","mode","price.beach","price.pier","price.boat","price.charter","catch.beach","catch.pier","catch.boat","catch.charter","income"
"234","charter",17.986,17.986,17.986,42.986,0.0678,0.0503,0.023,0.1648,3749.9999
"235","charter",17.986,17.986,17.986,46.986,0.0678,0.0789,0.1643,0.5391,3749.9999
"236","boat",45.186,45.186,45.186,70.186,0.0678,0.0503,0.2601,0.5391,10416.666
"237","beach",21.386,21.386,21.386,46.386,0.0678,0.0052,0.1491,0.2421,4583.332
"238","beach",9.522,9.522,9.522,34.522,0.0678,0.0503,0.2601,0.5391,3749.9999
"239","boat",316.342,316.342,51.842,86.842,0.5333,0.4522,0.2413,1.0266,3749.9999
"240","boat",32.242,32.242,5.922,34.922,0.0678,0.0789,0.0014,0.0029,2083.3332
"241","pier",9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3749.9999
"242","boat",11.322,11.322,11.322,36.322,0.0678,0.0503,0.0276,0.0029,4583.332
"243","beach",9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3749.9999
"244","beach",71.442,71.442,13.122,42.122,0.0678,0.0789,0.1643,0.5391,5416.6667
"245","boat",14.58,14.58,14.58,39.58,0.0678,0.0503,0.2601,0.5391,5416.6667
"246","charter",8.58,8.58,8.58,33.58,0.0678,0.0052,0.1491,0.2421,2916.6666
"247","charter",56.61,56.61,12.58,41.58,0.0678,0.0025,0.0499,0.2421,4583.332
"248","charter",18.58,18.58,18.58,43.58,0.0678,0.0503,0.2601,0.5391,7083.3317
"249","pier",8.58,8.58,8.58,33.58,0.0678,0.0503,0.2601,0.5391,2916.6666
"250","boat",359.022,359.022,666.11,691.11,0.2537,0.1498,0.0531,0.0052,8750.001
"251","charter",29.61,29.61,6.58,35.58,0.0678,0.0025,0.0499,0.2421,2083.3332
"252","boat",135.11,135.11,20.61,55.61,0.5333,0.4522,0.2413,1.0266,1249.9998
"253","charter",4.58,4.58,4.58,29.58,0.0678,0.0503,0.023,0.1648,1249.9998
"254","boat",6.58,6.58,6.58,31.58,0.0678,0.0503,0.0031,0.0041,2083.3332
"255","boat",31.586,31.586,31.586,56.586,0.0678,0.0052,0.1491,0.2421,7083.3317
"256","charter",24.786,24.786,24.786,49.786,0.0678,0.0052,0.1491,0.2421,5416.6667
"257","pier",13.818,13.818,13.818,42.818,0.0678,0.0025,0.0499,0.2421,2083.3332
"258","charter",30.618,30.618,30.618,59.618,0.0678,0.0789,0.1643,0.5391,5416.6667
"259","boat",214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2916.6666
"260","boat",264.5,264.5,5.29,40.29,0.5333,0.4522,0.0156,0.0058,3749.9999
"261","charter",4.29,4.29,4.29,33.29,0.0678,0.0789,0.0971,0.1648,2916.6666
"262","beach",4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998
"263","pier",5.922,5.922,5.922,30.922,0.0678,0.0503,0.0276,0.0029,2083.3332
"264","beach",71.442,71.442,13.122,42.122,0.0678,0.0025,0.0499,0.2421,5416.6667
"265","boat",5.922,5.922,5.922,30.922,0.0678,0.0503,0.0276,0.0029,2083.3332
"266","pier",15.87,15.87,15.87,40.87,0.0678,0.0503,0.0276,0.0029,3749.9999
"267","boat",6.45,6.45,3.87,32.87,0.0678,0.0789,0.0014,0.0029,416.66668
"268","boat",12.58,12.58,12.58,37.58,0.0678,0.0503,0.0276,0.0029,4583.332
"269","boat",6.58,6.58,6.58,31.58,0.0678,0.0052,0.1491,0.2421,2083.3332
"270","pier",6.58,6.58,6.58,31.58,0.0678,0.0503,0.2601,0.5391,2083.3332
"271","charter",7.722,7.722,7.722,32.722,0.0678,0.0503,0.0276,0.0029,2916.6666
"272","boat",164.5,164.5,3.29,38.29,0.5333,0.4522,0.1665,0.3975,2083.3332
"273","charter",5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3749.9999
"274","boat",3.29,3.29,3.29,32.29,0.0678,0.0789,0.0014,0.0029,2083.3332
"275","charter",5.29,5.29,5.29,34.29,0.0678,0.0789,0.0971,0.1648,3749.9999
"276","pier",2.29,2.29,2.29,31.29,0.0678,0.0789,0.0971,0.1648,1249.9998
"277","boat",264.5,264.5,5.29,40.29,0.5333,0.4522,0.0051,1.0266,3749.9999
"278","charter",7.29,7.29,7.29,36.29,0.0678,0.0789,0.0014,0.0029,5416.6667
"279","beach",13.29,13.29,13.29,42.29,0.0678,0.0789,0.1643,0.0041,10416.666
"280","charter",214.5,214.5,4.29,39.29,0.5333,0.4522,0.2413,1.0266,2916.6666
"281","charter",4.29,4.29,4.29,29.29,0.0678,0.0503,0.023,0.1648,2916.6666
"282","charter",166.212,166.212,7.29,31.29,0.1049,0.0079,0.0613,0.3087,5416.6667
"283","charter",6.29,6.29,6.29,35.29,0.0678,0.0789,0.0971,0.1648,4583.332
"284","boat",189.012,189.012,8.29,32.29,0.1049,0.0079,0.0613,0.3087,6250.0013
"285","charter",164.5,164.5,3.29,38.29,0.5333,0.0069,0.0361,0.4216,2083.3332
"286","charter",4.29,4.29,4.29,33.29,0.0678,0.0025,0.0499,0.2421,2916.6666
"287","charter",114.5,114.5,2.29,37.29,0.5333,0.4522,0.2413,1.0266,1249.9998
"288","pier",2.29,2.29,2.29,31.29,0.0678,0.0789,0.1643,0.5391,1249.9998
"289","pier",75.012,75.012,75.012,93.512,0.2537,0.1498,0.0233,0.0219,2083.3332
"290","pier",4.29,4.29,4.29,33.29,0.0678,0.0789,0.1643,0.5391,2916.6666
"291","boat",214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2916.6666
"292","boat",75.012,75.012,3.29,27.29,0.1049,0.0451,0.1574,0.4671,2083.3332
"293","charter",11.45,11.45,6.87,35.87,0.0678,0.0789,0.0971,0.1648,1249.9998
"294","charter",31.45,31.45,18.87,47.87,0.0678,0.0789,0.1643,0.5391,4583.332
"295","charter",33.87,33.87,33.87,58.87,0.0678,0.0503,0.2601,0.5391,8750.001
"296","boat",843.186,843.186,53.686,88.686,0.5333,0.4522,0.2413,1.0266,12499.998
"297","charter",364.5,364.5,7.29,42.29,0.5333,0.4522,0.0051,1.0266,5416.6667
"298","charter",314.5,314.5,6.29,41.29,0.5333,0.4522,0.2413,1.0266,4583.332
"299","charter",5.29,5.29,5.29,30.29,0.0678,0.0503,0.023,0.1648,3749.9999
"300","boat",264.5,264.5,5.29,40.29,0.5333,0.4522,0.2413,1.0266,3749.9999
"301","charter",7.29,7.29,7.29,36.29,0.0678,0.0789,0.0971,0.1648,5416.6667
"302","boat",97.812,97.812,4.29,28.29,0.1049,0.0451,0.0023,0.0046,2916.6666
"303","pier",3.29,3.29,3.29,28.29,0.0678,0.0503,0.0276,0.0029,2083.3332
"304","beach",8.29,8.29,8.29,33.29,0.0678,0.0503,0.2601,0.5391,6250.0013
"305","charter",10.58,10.58,10.58,35.58,0.0678,0.0503,0.0276,0.0029,3749.9999
"306","beach",11.186,11.186,11.186,36.186,0.0678,0.0503,0.2601,0.5391,2083.3332
"307","beach",38.386,38.386,38.386,63.386,0.0678,0.0503,0.2601,0.5391,8750.001
"308","boat",8.58,8.58,8.58,33.58,0.0678,0.0503,0.0276,0.0029,2916.6666
"309","charter",38.61,38.61,8.58,37.58,0.0678,0.0025,0.0499,0.2421,2916.6666
"310","charter",4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666
"311","boat",4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2916.6666
"312","charter",75.012,75.012,3.29,27.29,0.1049,0.0451,0.0023,0.0046,2083.3332
"313","boat",214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2916.6666
"314","boat",5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3749.9999
"315","charter",143.412,143.412,6.29,30.29,0.1049,0.0451,0.1574,0.4671,4583.332
"316","charter",4.29,4.29,4.29,29.29,0.0678,0.0052,0.1491,0.2421,2916.6666
"317","charter",6.29,6.29,6.29,35.29,0.0678,0.0789,0.1643,0.5391,4583.332
"318","boat",6.29,6.29,6.29,31.29,0.0678,0.0503,0.2601,0.5391,4583.332
"319","charter",4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2916.6666
"320","pier",3.29,3.29,3.29,28.29,0.0678,0.0052,0.1491,0.2421,2083.3332
"321","charter",26.32,26.32,3.29,32.29,0.0678,0.0789,0.1643,0.0041,2083.3332
"322","pier",4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666
"323","pier",2.29,2.29,2.29,27.29,0.0678,0.0503,0.2601,0.5391,1249.9998
"324","pier",2.29,2.29,2.29,27.29,0.0678,0.0503,0.2601,0.5391,1249.9998
"325","beach",4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666
"326","boat",8.29,8.29,8.29,33.29,0.0678,0.0503,0.2601,0.5391,6250.0013
"327","boat",7.29,7.29,7.29,32.29,0.0678,0.0503,0.2601,0.5391,5416.6667
"328","pier",13.29,13.29,13.29,38.29,0.0678,0.0503,0.2601,0.5391,10416.666
"329","boat",3.29,3.29,3.29,28.29,0.0678,0.0503,0.023,0.1648,2083.3332
"330","boat",6.29,6.29,6.29,31.29,0.0678,0.0052,0.1491,0.2421,4583.332
"331","charter",26.32,26.32,3.29,32.29,0.0678,0.0789,0.0971,0.1648,2083.3332
"332","boat",4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2916.6666
"333","boat",6.29,6.29,6.29,31.29,0.0678,0.0503,0.0276,0.0029,4583.332
"334","charter",74.61,74.61,16.58,45.58,0.0678,0.0025,0.0499,0.2421,6250.0013
"335","pier",4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666
"336","charter",6.29,6.29,6.29,31.29,0.0678,0.0503,0.2601,0.5391,4583.332
"337","beach",2.29,2.29,2.29,27.29,0.0678,0.0503,0.0276,0.0029,1249.9998
"338","pier",5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3749.9999
"339","boat",3.29,3.29,3.29,28.29,0.0678,0.0503,0.0276,0.0029,2083.3332
"340","boat",2.29,2.29,2.29,27.29,0.0678,0.0503,0.0276,0.0029,1249.9998
"341","boat",34.32,34.32,4.29,33.29,0.0678,0.0789,0.0014,0.0029,2916.6666
"342","charter",6.29,6.29,6.29,31.29,0.0678,0.0503,0.0276,0.0029,4583.332
"343","boat",9.29,9.29,9.29,34.29,0.0678,0.0503,0.2601,0.5391,7083.3317
"344","beach",306.82,306.82,42.32,77.32,0.5333,0.4522,0.2413,1.0266,3749.9999
"345","boat",65.61,65.61,231.822,266.822,0.0678,0.0789,0.0897,1.0905,5416.6667
"346","boat",8.29,8.29,8.29,33.29,0.0678,0.0503,0.0276,0.0029,6250.0013
"347","charter",132.132,132.132,34.32,58.32,0.1049,0.0079,0.0613,0.3087,2916.6666
"348","charter",26.32,26.32,3.29,32.29,0.0678,0.0789,0.0014,0.0029,2083.3332
"349","charter",7.29,7.29,7.29,32.29,0.0678,0.0503,0.2601,0.5391,5416.6667
"350","boat",51.45,51.45,30.87,59.87,0.0678,0.0789,0.1643,0.5391,7916.6663
"351","boat",30.87,30.87,30.87,55.87,0.0678,0.0503,0.2601,0.5391,7916.6663
"352","boat",12.87,12.87,12.87,37.87,0.0678,0.0503,0.0276,0.0029,2916.6666
"353","charter",21.87,21.87,21.87,46.87,0.0678,0.0503,0.023,0.1648,5416.6667
"354","beach",24.786,24.786,24.786,49.786,0.0678,0.0503,0.2601,0.5391,5416.6667
"355","charter",21.386,21.386,21.386,50.386,0.0678,0.0789,0.1643,0.5391,4583.332
"356","charter",455.95,455.95,41.45,76.45,0.5333,0.0069,0.0361,0.4216,6250.0013
"357","boat",12.87,12.87,12.87,37.87,0.0678,0.0503,0.2601,0.5391,2916.6666
"358","charter",119.262,119.262,235.95,260.95,0.2537,0.1498,0.0531,0.0052,2916.6666
"359","boat",15.87,15.87,15.87,40.87,0.0678,0.0503,0.2601,0.5391,3749.9999
"360","boat",24.87,24.87,24.87,49.87,0.0678,0.0503,0.2601,0.5391,6250.0013
"361","charter",46.45,46.45,27.87,56.87,0.0678,0.0789,0.1643,0.0041,7083.3317
"362","beach",4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998
"363","pier",4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998
"364","boat",130.832,130.832,130.832,155.832,0.0678,0.0503,0.2601,0.5391,4583.332
"365","boat",119.554,119.554,73.002,97.002,0.1049,0.0451,0.0238,0.0468,3749.9999
"366","boat",45.402,45.402,74.354,109.354,0.0678,0.0789,0.0897,1.0905,2083.3332
"367","charter",45.402,45.402,74.354,109.354,0.0678,0.0789,0.0559,0.6456,2083.3332
"368","boat",119.554,119.554,73.002,97.002,0.1049,0.0451,0.1574,0.4671,3749.9999
"369","charter",31.602,31.602,51.754,86.754,0.0678,0.0789,0.0102,0.0209,1249.9998
"370","charter",106.714,106.714,31.602,66.602,0.5333,0.0069,0.0361,0.4216,1249.9998
"371","beach",37.098,37.098,37.098,66.098,0.0678,0.0789,0.1643,0.5391,1249.9998
"372","pier",20.898,20.898,20.898,49.898,0.0678,0.0789,0.1643,0.5391,416.66668
"373","charter",393.66,393.66,154.548,189.548,0.5333,0.4522,0.0156,0.0058,5416.6667
"374","charter",177.66,177.66,69.748,104.748,0.5333,0.0069,0.0361,0.4216,2083.3332
"375","charter",26.832,26.832,26.832,51.832,0.0678,0.0052,0.1491,0.2421,416.66668
"376","charter",110.032,110.032,110.032,135.032,0.0678,0.0503,0.2601,0.5391,3749.9999
"377","boat",151.632,151.632,236.196,271.196,0.0678,0.0789,0.0102,0.0209,5416.6667
"378","boat",511.596,511.596,328.432,352.432,0.1049,0.0451,0.0023,0.0046,12499.998
"379","charter",353.498,353.498,130.832,165.832,0.5333,0.4522,0.2413,1.0266,4583.332
"380","boat",68.432,68.432,106.596,141.596,0.0678,0.0789,0.0559,0.6456,2083.3332
"381","pier",90.948,90.948,90.948,119.948,0.0678,0.0789,0.0014,0.0029,2916.6666
"382","boat",132.99,132.99,90.948,114.948,0.1049,0.0451,0.0023,0.0046,2916.6666
"383","charter",90.948,90.948,132.99,162.49,0.0678,0.0052,0.0732,0.1726,2916.6666
"384","charter",65.016,65.016,26.574,61.574,0.5333,0.4522,0.2413,1.0266,416.66668
"385","charter",216.216,216.216,88.374,123.374,0.5333,0.4522,0.0156,0.0058,2916.6666
"386","boat",319.302,319.302,247.86,271.86,0.1049,0.0079,0.0613,0.3087,5416.6667
"387","boat",295.422,295.422,115.196,139.196,0.1049,0.0451,0.1574,0.4671,7083.3317
"388","pier",150.174,150.174,170.586,199.586,0.0678,0.0789,0.1643,0.5391,5416.6667
"389","charter",367.416,367.416,150.174,185.174,0.5333,0.4522,0.2413,1.0266,5416.6667
"390","charter",170.774,170.774,218.856,253.856,0.0678,0.0025,0.0108,0.2377,6250.0013
"391","charter",88.374,88.374,113.256,148.256,0.0678,0.0789,0.0559,0.6456,2916.6666
"392","beach",47.174,47.174,53.586,82.586,0.0678,0.0789,0.1643,0.5391,1249.9998
"393","pier",129.574,129.574,147.186,176.186,0.0678,0.0789,0.1643,0.5391,4583.332
"394","pier",108.974,108.974,123.786,152.786,0.0678,0.0789,0.1643,0.5391,3749.9999
"395","charter",569.016,569.016,232.574,267.574,0.5333,0.4522,0.2413,1.0266,8750.001
"396","charter",88.374,88.374,100.386,129.386,0.0678,0.0789,0.1643,0.5391,2916.6666
"397","charter",317.016,317.016,129.574,164.574,0.5333,0.4522,0.1665,0.3975,4583.332
"398","charter",106.596,106.596,168.448,193.448,0.2537,0.1498,0.6817,2.3014,2083.3332
"399","charter",140.714,140.714,159.758,188.758,0.0678,0.0025,0.0499,0.2421,3749.9999
"400","boat",171.396,171.396,140.714,164.714,0.1049,0.0451,0.1574,0.4671,3749.9999
"401","boat",171.396,171.396,270.848,295.848,0.2537,0.1498,0.0531,0.0052,3749.9999
"402","charter",107.916,107.916,138.598,173.598,0.0678,0.0789,0.0559,0.6456,3749.9999
"403","boat",115.736,115.736,79.254,103.254,0.1049,0.0451,0.0023,0.0046,4583.332
"404","charter",266.696,266.696,79.254,114.254,0.5333,0.0069,0.0361,0.4216,4583.332
"405","boat",86.658,86.658,37.752,61.752,0.1049,0.0451,0.0023,0.0046,2916.6666
"406","boat",58.05,58.05,11.352,46.352,0.5333,0.0069,0.0361,0.4216,416.66668
"407","boat",86.658,86.658,37.752,61.752,0.1049,0.0451,0.0023,0.0046,2916.6666
"408","charter",85.698,85.698,60.306,84.306,0.1049,0.0451,0.0023,0.0046,3749.9999
"409","charter",212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999
"410","charter",212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999
"411","charter",69.498,69.498,48.906,72.906,0.1049,0.0451,0.0023,0.0046,2916.6666
"412","beach",85.698,85.698,85.698,104.198,0.2537,0.1498,0.0233,0.0219,3749.9999
"413","boat",53.298,53.298,37.506,61.506,0.1049,0.0451,0.1574,0.4671,2083.3332
"414","boat",172.458,172.458,48.906,83.906,0.5333,0.4522,0.2413,1.0266,2916.6666
"415","charter",212.658,212.658,60.306,95.306,0.5333,0.0069,0.0361,0.4216,3749.9999
"416","pier",224.296,224.296,66.654,101.654,0.5333,0.4522,0.2413,1.0266,3749.9999
"417","pier",34.874,34.874,34.874,63.874,0.0678,0.0789,0.1643,0.5391,2083.3332
"418","charter",360.126,360.126,77.274,112.274,0.5333,0.4522,0.0156,0.0058,5416.6667
"419","charter",34.874,34.874,34.874,59.874,0.0678,0.0503,0.0276,0.0029,2083.3332
"420","charter",261.326,261.326,56.074,91.074,0.5333,0.4522,0.0156,0.0058,3749.9999
"421","charter",66.674,66.674,154.734,189.734,0.0678,0.0789,0.0559,0.6456,4583.332
"422","charter",77.274,77.274,77.274,106.274,0.0678,0.0789,0.0971,0.1648,5416.6667
"423","charter",266.616,266.616,108.974,143.974,0.5333,0.4522,0.2413,1.0266,3749.9999
"424","charter",191.334,191.334,64.35,99.35,0.5333,0.4522,0.2413,1.0266,2916.6666
"425","boat",253.174,253.174,184.35,208.35,0.1049,0.0451,0.0023,0.0046,9583.3357
"426","charter",191.334,191.334,64.35,99.35,0.5333,0.0069,0.0361,0.4216,2916.6666
"427","boat",49.35,49.35,67.774,102.774,0.0678,0.0789,0.0897,1.0905,2083.3332
"428","boat",191.334,191.334,64.35,99.35,0.5333,0.0069,0.0361,0.4216,2916.6666
"429","boat",102.134,102.134,34.35,69.35,0.5333,0.4522,0.0051,1.0266,1249.9998
"430","charter",191.334,191.334,64.35,99.35,0.5333,0.4522,0.1665,0.3975,2916.6666
"431","charter",146.734,146.734,49.35,84.35,0.5333,0.0069,0.0361,0.4216,2083.3332
"432","charter",235.934,235.934,79.35,114.35,0.5333,0.0069,0.0361,0.4216,3749.9999
"433","pier",34.35,34.35,38.014,67.014,0.0678,0.0789,0.1643,0.5391,1249.9998
"434","charter",67.774,67.774,49.35,73.35,0.1049,0.0079,0.0613,0.3087,2083.3332
"435","pier",20.152,20.152,20.152,49.152,0.0678,0.0789,0.1643,0.5391,1249.9998
"436","boat",74.354,74.354,45.402,69.402,0.1049,0.0451,0.0023,0.0046,2083.3332
"437","boat",191.334,191.334,64.35,99.35,0.5333,0.4522,0.2413,1.0266,2916.6666
"438","charter",322.218,322.218,94.77,129.77,0.5333,0.4522,0.1665,0.3975,5416.6667
"439","boat",189.618,189.618,55.77,90.77,0.5333,0.4522,0.2413,1.0266,2916.6666
"440","charter",489.804,489.804,59.682,94.682,0.5333,0.4522,0.2413,1.0266,7916.6663
"441","charter",75.012,75.012,19.082,43.082,0.1049,0.0079,0.0613,0.3087,2083.3332
"442","charter",251.804,251.804,30.682,65.682,0.5333,0.4522,0.2413,1.0266,3749.9999
"443","charter",36.482,36.482,36.482,61.482,0.0678,0.0503,0.2601,0.5391,4583.332
"444","pier",13.282,13.282,13.282,42.282,0.0678,0.0789,0.1643,0.5391,1249.9998
"445","boat",322.048,322.048,167.314,202.314,0.5333,0.4522,0.1665,0.3975,4583.332
"446","beach",74.196,74.196,74.196,92.696,0.2537,0.1498,8e-04,0.0027,1249.9998
"447","charter",578.048,578.048,300.314,335.314,0.5333,0.4522,0.2413,1.0266,8750.001
"448","charter",138.996,138.996,114.114,138.114,0.1049,0.0451,0.1574,0.4671,2916.6666
"449","charter",197.34,197.34,42.9,77.9,0.5333,0.0069,0.0361,0.4216,2916.6666
"450","boat",233.818,233.818,68.77,103.77,0.5333,0.4522,0.0156,0.0058,3749.9999
"451","charter",133.77,133.77,133.77,158.77,0.0678,0.0052,0.1491,0.2421,7916.6663
"452","pier",94.77,94.77,94.77,123.77,0.0678,0.0789,0.1643,0.5391,5416.6667
"453","charter",133.77,133.77,133.77,158.77,0.0678,0.0503,0.0276,0.0029,7916.6663
"454","boat",127.058,127.058,81.77,105.77,0.1049,0.0079,0.0613,0.3087,4583.332
"455","charter",47.174,47.174,34.35,58.35,0.1049,0.0079,0.0613,0.3087,1249.9998
"456","beach",109.35,109.35,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5416.6667
"457","boat",154.214,154.214,154.214,179.214,0.0678,0.0503,0.2601,0.5391,7083.3317
"458","charter",253.174,253.174,184.35,208.35,0.1049,0.0079,0.0613,0.3087,9583.3357
"459","charter",181.896,181.896,54.054,89.054,0.5333,0.4522,0.2413,1.0266,2916.6666
"460","boat",78.936,78.936,54.054,78.054,0.1049,0.0451,0.0023,0.0046,2916.6666
"461","boat",104.454,104.454,127.666,156.666,0.0678,0.0789,0.0014,0.0029,6250.0013
"462","charter",373.05,373.05,72.952,107.952,0.5333,0.4522,0.2413,1.0266,6250.0013
"463","boat",45.474,45.474,45.474,70.474,0.0678,0.0052,0.1491,0.2421,2916.6666
"464","pier",45.474,45.474,45.474,74.474,0.0678,0.0789,0.1643,0.0041,2916.6666
"465","charter",106.858,106.858,68.77,92.77,0.1049,0.0451,0.0023,0.0046,3749.9999
"466","boat",233.818,233.818,68.77,103.77,0.5333,0.0069,0.0361,0.4216,3749.9999
"467","boat",147.258,147.258,94.77,118.77,0.1049,0.0451,0.0023,0.0046,5416.6667
"468","boat",147.258,147.258,94.77,118.77,0.1049,0.0451,0.0238,0.0468,5416.6667
"469","charter",189.618,189.618,55.77,90.77,0.5333,0.4522,0.2413,1.0266,2916.6666
"470","charter",66.458,66.458,42.77,66.77,0.1049,0.0079,0.0613,0.3087,2083.3332
"471","boat",278.018,278.018,81.77,116.77,0.5333,0.4522,0.1665,0.3975,4583.332
"472","charter",233.818,233.818,68.77,103.77,0.5333,0.4522,0.0156,0.0058,3749.9999
